"Id","Name","ModuleNamespace","Description","BusinessProcessId","SobjectType","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp","IsDeleted"
"01224000000ESpqAAG","Progreso","","Medir los logros basándose en hasta qué punto está acabado en comparación con un valor de destino. Ideal para el seguimiento de cifras y porcentajes concretos. Por ejemplo: Convertir 50 candidatos o alcanzar una satisfacción del cliente del 100%.","","Metric","1","00524000001JK9hAAG","2015-08-20 15:17:10","00524000001JK9hAAG","2015-08-20 15:17:10","2015-08-20 15:17:10","0"
"01224000000ESprAAG","Finalización","","Medir los logros basándose en si la medición está acabada o no. Perfecto para el seguimiento de eventos clave o cuando no tiene mediciones basadas en números concretos. Por ejemplo: Obtener certificado de Salesforce.","","Metric","1","00524000001JK9hAAG","2015-08-20 15:17:11","00524000001JK9hAAG","2015-08-20 15:17:11","2015-08-20 15:17:11","0"
"01224000000b4eoAAA","Internal Zone: Question Record Type","","Record type used to associate Question with a specific zone","","Question","1","00524000001JK9hAAG","2015-06-15 09:09:14","00524000001JK9hAAG","2015-06-15 09:09:14","2015-06-15 09:09:14","0"
"01224000000b4epAAA","Internal Zone: Reply Record Type","","Record type used to associate Reply with a specific zone","","Reply","1","00524000001JK9hAAG","2015-06-15 09:09:14","00524000001JK9hAAG","2015-06-15 09:09:14","2015-06-15 09:09:14","0"
"01224000000b4eqAAA","Internal Ideas: Idea Record Type","","Record Type used to associate ideas with a specific community","","Idea","1","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","2015-06-15 09:09:14","0"
