"Id","IsDeleted","ParentId","ParentSobjectType","CreatedById","CreatedDate","FieldName","DataType","OldvalString","NewvalString","OldvalFirstName","NewvalFirstName","OldvalLastName","NewvalLastName","OldvalNumber","NewvalNumber","OldvalDate","NewvalDate"
"0172400001rzNBSAA2","0","06924000000DvQuAAK","ContentDocument","00524000001JK9hAAG","2015-08-21 18:51:16","createText","S","","","","","","","","","",""
"0172400001rzNBTAA2","0","06824000000MXWsAAO","ContentVersion","00524000001JK9hAAG","2015-08-21 18:51:16","createText","S","","","","","","","","","",""
