"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","SearchTerm","QueryDate","CountQueries","CountUsers","AvgNumResults","Period","QueryLanguage","ClickRank"
"06h1p000002D70DAAS","0","00000006","2018-01-04 08:07:55","00524000001JK9hAAG","2018-01-04 08:07:55","00524000001JK9hAAG","2018-01-04 08:07:55","app","2017-01-01 00:00:00","1","1","0.0","YEAR","en_US",""
"06h1p000002eFMGAA2","0","00000007","2018-03-09 07:13:37","00524000001JK9hAAG","2018-03-09 07:13:37","00524000001JK9hAAG","2018-03-09 07:13:37","user","2018-03-08 00:00:00","1","1","0.0","DAY","en_US",""
"06h1p000002eQjgAAE","0","00000008","2018-04-03 06:42:04","00524000001JK9hAAG","2018-04-03 06:42:04","00524000001JK9hAAG","2018-04-03 06:42:04","user","2018-03-01 00:00:00","1","1","0.0","MONTH","en_US",""
"06h24000000E6a3AAC","0","00000001","2016-04-04 06:19:56","00524000001JK9hAAG","2016-04-04 06:19:56","00524000001JK9hAAG","2016-04-04 06:19:56","picklist*","2016-04-03 00:00:00","1","1","0.0","DAY","en_US",""
"06h24000000Q79WAAS","0","00000002","2016-05-03 07:40:51","00524000001JK9hAAG","2016-05-03 07:40:51","00524000001JK9hAAG","2016-05-03 07:40:51","picklist*","2016-04-01 00:00:00","1","1","0.0","MONTH","en_US",""
"06h24000000qmzfAAA","0","00000003","2017-01-04 09:21:40","00524000001JK9hAAG","2017-01-04 09:21:40","00524000001JK9hAAG","2017-01-04 09:21:40","picklist*","2016-01-01 00:00:00","1","1","0.0","YEAR","en_US",""
"06h24000001HQQfAAO","0","00000004","2017-05-18 06:40:16","00524000001JK9hAAG","2017-05-18 06:40:16","00524000001JK9hAAG","2017-05-18 06:40:16","app","2017-05-17 00:00:00","1","1","0.0","DAY","en_US",""
"06h24000001HWYxAAO","0","00000005","2017-06-03 08:00:02","00524000001JK9hAAG","2017-06-03 08:00:02","00524000001JK9hAAG","2017-06-03 08:00:02","app","2017-05-01 00:00:00","1","1","0.0","MONTH","en_US",""
