assedicCertInitialStateNum,assedicCertObjectNum,businessUnit,calcMethodIndicator,commitmentIndicator,company,contractReferenceForAed,contractType,costCenter,countryOfCompany,createdBy,createdDateTime,createdOn,defaultOvertimeCompensationVariant,department,division,eeo1JobCategory,eeo4JobCategory,eeo5JobCategory,eeo6JobCategory,eeoClass,electoralCollegeForWorkersRepresentatives,electoralCollegeForWorksCouncil,empRelationship,emplStatus,employeeClass,employeeWorkgroupMembership,employmentType,endDate,event,eventReason,exclExecutiveSector,expectedReturnDate,familyRelationshipWithEmployer,fgtsDate,fgtsOptant,fgtsPercent,flsaStatus,fte,harmfulAgentExposure,hazard,healthRisk,holidayCalendarCode,isCompetitionClauseActive,isFulltimeEmployee,isSideLineJobAllowed,jobCode,jobTitle,laborProtection,lastModifiedBy,lastModifiedDateTime,lastModifiedOn,location,managerId,mandatoryWorkBreakRecord,municipalInseeCode,notes,operation,payGrade,payScaleArea,payScaleGroup,payScaleLevel,payScaleType,pcfm,pensionProtection,permitIndicator,position,positionEntryDate,probationPeriodEndDate,regularTemp,residentVote,retired,seqNumber,sickPaySupplement,standardHours,startDate,teachersPension,timeRecordingAdmissibilityCode,timeRecordingProfileCode,timeRecordingVariant,timeTypeProfileCode,timezone,travelDistance,tupeOrgNumber,userId,workLocation,workerCategory,workingDaysPerWeek,workingTimeDirective,workscheduleCode,wtdHoursLimit
,,BU_0008,,,8001008,,,44200,,,,,,8005126,8003001,,,,,,,,,2008,2037,,,99991231,986,END_CTRCT,,,,,,,,1,,,,,,,,25,Accounting Assistant,,,,,,,,,,,,,,,,,,,,,,868,,,1,,35,20130321,,,,,,,,,E100719,LOC30,,,,,
,,BU_0008,,,8001008,,,44200,,,,,,8005126,8003001,,,,,,,,,2003,2037,,,20130320,975,NEW_HIRE,,,,,,,,1,,,,,,,,25,Accounting Assistant,,,,,,E100131,,,,,,,,,,,,,,,,868,,,1,,35,20120321,,,,,,,,,E100719,LOC30,,,,,
,,BU_0008,,,8001008,,,44200,,,,,,8005126,8003001,,,,,,,,,2003,2041,,,20130331,970,OTH_JOB_CHG,,,,,,,,1,,,,,,,,25,Accounting Assistant,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20111117,,,,,,,,,E100642,LOC30,,,,,
,,BU_0008,,,8001008,,,44200,,,,,,8005126,8003001,,,,,,,,,2003,2041,,,20140331,970,XFER,,,,,,,,1,,,,,,,,25,Accounting Assistant,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20130401,,,,,,,,,E100642,LOC30,,,,,
,,BU_0008,,,8001008,,,44200,,,,,,8005126,8003001,,,,,,,,,2003,2041,,,20111116,975,NEW_HIRE,,,,,,,,1,,,,,,,,25,Accounting Assistant,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20111115,,,,,,,,,E100642,LOC30,,,,,
,,BU_0001,,,8001008,,,44065,,,,,,8005100,8003004,,,,,,,,,2003,2041,,,99991231,970,JOB_TIT_UPD,,,,,,,,1,,,,,,,,26,Technical Specialist,,,,,,E100170,,,,,,,,,,,,,,,,867,,,1,,35,20120401,,,,,,,,,E100286,LOC30,,,,,
,,BU_0001,,,8001008,,,44065,,,,,,8005100,8003004,,,,,,,,,2003,2041,,,20120331,975,NEW_HIRE,,,,,,,,1,,,,,,,,26,Technical Specialist,,,,,,E100170,,,,,,,,,,,,,,,,867,,,1,,35,20090129,,,,,,,,,E100286,LOC30,,,,,
,,BU_0001,,,8001002,,,44550,,,,,,8005105,8003004,,,,,,,,,2003,2041,,,20120117,975,NEW_HIRE,,,,,,,,1,,,,,,,,27,Senior Officer,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20070313,,,,,,,,,E100168,LOC22,,,,,
,,BU_0001,,,8001002,,,44550,,,,,,8005105,8003004,,,,,,,,,2003,2041,,,20160831,970,ORG_RESTRUCT,,,,,,,,1,,,,,,,,27,Senior Officer,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20120118,,,,,,,,,E100168,LOC22,,,,,
,,BU_0007,,,8001008,,,44300,,,,,,8005079,8003001,,,,,,,,,2008,2038,,,99991231,986,END_CTRCT,,,,,,,,1,,,,,,,,28,Interim Team Leader,,,,,,E100464,,,,,,,,,,,,,,,,868,,,1,,35,20130303,,,,,,,,,E100587,LOC28,,,,,
